Player count: 2
AaQbTa5a5b [49.70833333333333, 82.0, 0.6061991869918698]
AaQaQb5b5a [22.0, 37.0, 0.5945945945945946]
AaAb7b7a7c [16.0, 27.0, 0.5925925925925926]
KaKbJa9b2a [49.166666666666664, 83.0, 0.5923694779116465]
AaAbAc5b5d [19.5, 33.0, 0.5909090909090909]
AaQaQb5c5b [52.58333333333333, 89.0, 0.5908239700374531]
AaQbQcTbTc [62.5, 106.0, 0.589622641509434]
AaQaQbJbJc [46.54166666666667, 79.0, 0.5891350210970465]
AaAb9a6a6b [22.916666666666664, 39.0, 0.5876068376068375]
AaJaJb5b5c [42.875, 73.0, 0.5873287671232876]
AaAb9b6a6b [25.25, 43.0, 0.5872093023255814]
AaQbQcJcTb [110.79166666666667, 189.0, 0.5861992945326279]
AaJbJa5a5b [30.416666666666668, 52.0, 0.5849358974358975]
AaQbQc5c5d [49.125, 84.0, 0.5848214285714286]
AaAbKa7a4b [54.25, 93.0, 0.5833333333333334]
AaQaQb5a5c [61.041666666666664, 105.0, 0.5813492063492063]
AaKaKb5a5c [56.375, 97.0, 0.5811855670103093]
